timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635341400803, 23, 100, ARCX, 23.3, 100, BATS, 23.02, 2232, XNYS, 2232, 51380.6, 23.02, 100, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341406000, 23, 500, XNYS, 23.42, 100, EDGX, 23.15, 1, XADF, 2233, 51403.8, 23.0201, 700, 3, 100, 1, 1, 1, 0, 0, 1, 0
1635341581801, 23.01, 100, XNYS, 23.37, 1000, IEXG, 23.01, 200, XNYS, 2433, 56005.8, 23.0192, 100, 1, 1000, 1, 0, 0, 0, 0, 1, 0
1635341581802, 23.01, 100, XNYS, 23.37, 1000, IEXG, 23.01, 100, XNYS, 2533, 58306.8, 23.0189, 100, 1, 1100, 2, 0, 0, 0, 0, 1, 0
1635341581802, 23.01, 100, XNYS, 23.37, 1000, IEXG, 23.01, 100, XNYS, 2633, 60607.8, 23.0185, 100, 1, 1100, 2, 0, 0, 0, 0, 1, 0
1635341581802, 23.01, 100, XNYS, 23.37, 1000, IEXG, 23.01, 100, XNYS, 2733, 62908.8, 23.0182, 100, 1, 1100, 2, 0, 0, 0, 0, 1, 0
1635341581802, 23.01, 100, XNYS, 23.37, 1000, IEXG, 23.01, 100, XNYS, 2833, 65209.8, 23.0179, 100, 1, 1100, 2, 0, 0, 0, 0, 1, 0
1635341581802, 23, 500, XNYS, 23.37, 1000, IEXG, 23.01, 100, XNYS, 2933, 67510.8, 23.0177, 600, 2, 1100, 2, 0, 1, 0, 0, 1, 0
1635341581802, 23, 100, ARCX, 23.36, 100, XNYS, 23, 503, XNYS, 3512, 80828.5, 23.015, 100, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341581802, 23, 100, ARCX, 23.36, 100, XNYS, 23, 100, ARCX, 3612, 83128.5, 23.0145, 100, 1, 100, 1, 0, 0, 0, 0, 1, 0
1635341581802, 22.96, 200, XNYS, 23.36, 100, XNYS, 23, 100, ARCX, 3612, 83128.5, 23.0145, 200, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341581802, 22.96, 200, XNYS, 23.36, 100, XNYS, 23, 25, ARCX, 3637, 83703.5, 23.0144, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341581802, 22.96, 200, XNYS, 23.29, 100, ARCX, 23.01, 100, XNAS, 3737, 86004.5, 23.0143, 200, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341581802, 22.96, 200, XNYS, 23.29, 100, ARCX, 23.01, 100, XNAS, 3737, 86004.5, 23.0143, 200, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341581802, 23.01, 100, XNAS, 23.26, 100, XBOS, 23.01, 100, XNAS, 3837, 88305.5, 23.0142, 100, 1, 100, 1, 0, 0, 0, 0, 1, 0
1635341581802, 23.01, 100, XNAS, 23.26, 100, XBOS, 23.02, 200, XNAS, 4037, 92909.5, 23.0145, 100, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341581803, 22.96, 200, XNYS, 23.26, 100, XBOS, 23, 10, XNAS, 4047, 93139.5, 23.0145, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341581803, 22.96, 200, XNYS, 23.1, 100, IEXG, 23, 1, EDGX, 4048, 93162.5, 23.0145, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341581803, 22.92, 100, XNAS, 23.1, 100, IEXG, 22.96, 200, XNYS, 4248, 97754.6, 23.0119, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341581803, 22.92, 100, XNAS, 23.1, 100, IEXG, 22.95, 2, XNYS, 4250, 97800.4, 23.0119, 200, 2, 100, 1, 1, 0, 0, 0, 1, 0
1635341581804, 22.87, 100, XNAS, 23.1, 100, IEXG, 22.95, 2, XNAS, 4252, 97846.3, 23.0118, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341581806, 22.87, 100, XPSX, 23.05, 100, IEXG, 22.91, 40, XNYS, 4292, 98762.7, 23.0109, 200, 2, 100, 1, 1, 0, 0, 0, 1, 0
1635341581808, 22.87, 100, XNAS, 23.33, 100, XNAS, 22.91, 66, XNAS, 4358, 100275, 23.0094, 100, 1, 300, 3, 1, 0, 0, 0, 1, 0
1635341581808, 22.86, 300, XNYS, 23.33, 100, XPSX, 22.91, 114, XNAS, 4472, 102887, 23.0068, 300, 1, 300, 3, 0, 1, 0, 0, 1, 0
1635341582041, 22.86, 300, XNYS, 23.29, 200, XNYS, 22.87, 100, XADF, 4572, 105174, 23.0038, 300, 1, 200, 1, 0, 1, 0, 0, 1, 0
1635341582176, 22.83, 700, BATS, 23.33, 200, EDGX, 22.86, 200, XNYS, 4772, 109746, 22.9978, 700, 1, 200, 1, 0, 1, 0, 0, 1, 0
